-73.858719	2.934657	-65.32267	-45.738987	-54.636902	-37.621651	-39.83527	-28.11891	9.614704	55.04126	-25.450542	-18.527756	-16.337507	-12.599561	-4.314249	-70.434776	77.288811	2.602635	1191
-73.877205	2.444562	-65.039757	-46.204903	-54.433445	-37.939617	-39.689106	-28.334465	9.230206	55.07452	-25.351768	-18.768688	-16.232946	-12.71971	-3.942961	-70.390587	77.276253	3.106225	1192
-73.896294	2.002228	-64.7314	-46.538002	-54.172085	-38.280178	-39.529259	-28.556087	8.931557	55.113464	-25.205708	-18.887568	-16.137693	-12.869497	-3.51644	-70.450272	77.239311	3.53444	1193
-73.899071	1.537958	-64.446571	-46.930271	-53.906513	-38.618469	-39.330376	-28.843658	8.535947	55.258286	-25.079929	-19.019922	-16.060835	-12.957311	-2.989104	-70.445274	77.224571	4.063059	1194
-73.91745	1.02656	-64.115166	-47.370003	-53.679192	-38.977016	-39.109997	-29.060986	8.1837	55.311958	-24.907589	-19.144697	-15.982476	-13.04006	-2.602345	-70.434837	77.215118	4.588259	1195
-73.901382	0.577928	-63.804703	-47.771198	-53.430145	-39.322144	-38.941704	-29.290279	7.809843	55.359291	-24.800749	-19.323641	-15.855065	-13.116546	-2.160087	-70.442619	77.163963	5.027383	1196
-73.884529	0.110948	-63.47522	-48.21389	-53.145294	-39.656181	-38.773838	-29.578577	7.4704	55.405422	-24.701233	-19.526548	-15.792876	-13.199301	-1.70656	-70.430817	77.133575	5.55687	1197
-73.883591	-0.397135	-63.170834	-48.585239	-52.915985	-39.97979	-38.590057	-29.812494	7.077513	55.446037	-24.588242	-19.659485	-15.724195	-13.289254	-1.223794	-70.427414	77.103073	6.089739	1198
-73.862183	-0.924337	-62.854713	-49.001888	-52.64896	-40.334557	-38.338531	-30.105055	6.750754	55.475849	-24.45179	-19.795916	-15.651836	-13.493367	-0.771155	-70.413094	77.064301	6.629868	1199
-73.844521	-1.32703	-62.525486	-49.397552	-52.354137	-40.64447	-38.170284	-30.312996	6.336619	55.501957	-24.318794	-19.950474	-15.589493	-13.569962	-0.32072	-70.407639	77.015701	7.062654	1200
-73.827393	-1.799652	-62.220417	-49.766468	-52.126099	-40.993099	-38.00539	-30.527365	6.053638	55.521626	-24.19471	-20.140467	-15.480336	-13.64711	0.119555	-70.45311	76.978447	7.567454	1201
-73.803741	-2.232716	-61.89336	-50.175217	-51.914043	-41.289284	-37.83427	-30.805164	5.663353	55.65229	-24.036732	-20.259504	-15.415032	-13.720415	0.583588	-70.53624	76.948471	8.068323	1202
-73.780128	-2.662345	-61.599514	-50.542778	-51.58852	-41.633274	-37.58115	-31.000563	5.329108	55.690483	-23.930477	-20.386475	-15.333165	-13.797152	0.990731	-70.440468	76.890739	8.492204	1203
-73.752968	-3.190337	-61.29409	-50.89687	-51.357452	-41.94083	-37.404633	-31.219589	4.963791	55.717628	-23.818819	-20.514744	-15.241859	-13.891464	1.426455	-70.43483	76.841438	9.024952	1204
-73.727478	-3.639314	-60.94083	-51.32811	-51.107426	-42.286972	-37.221939	-31.498274	4.628294	55.74926	-23.711014	-20.755936	-15.108389	-13.949454	1.925101	-70.481392	76.794998	9.548902	1205
-73.690628	-4.079271	-60.616295	-51.696011	-50.791851	-42.587742	-37.044193	-31.707842	4.252851	55.778755	-23.557182	-20.868338	-15.033533	-14.140962	2.339066	-70.415466	76.725266	9.960298	1206
-73.663078	-4.597681	-60.27544	-52.108025	-50.543251	-42.930897	-36.771038	-31.908442	3.933703	55.792816	-23.416983	-20.996281	-14.967047	-14.220669	2.756804	-70.43663	76.672249	10.493842	1207
-73.618713	-5.119881	-59.932724	-52.482403	-50.305328	-43.23539	-36.584602	-32.195095	3.529199	55.817249	-23.248802	-21.116438	-14.891564	-14.297976	3.296974	-70.39769	76.608467	11.033773	1208
-73.575256	-5.553572	-59.623894	-52.822372	-49.955437	-43.57959	-36.390099	-32.409061	3.224079	55.822056	-23.131437	-21.350096	-14.818568	-14.37826	3.71683	-70.335602	76.541603	11.577192	1209
-73.606201	-6.029302	-59.256088	-53.237713	-49.715298	-43.871418	-36.19725	-32.682384	2.817445	55.831299	-23.024725	-21.471771	-14.713885	-14.461098	4.131218	-70.33744	76.472031	11.986757	1210
-73.555351	-6.518435	-58.924858	-53.584641	-49.433891	-44.177517	-35.949158	-32.862862	2.469721	55.852161	-22.912758	-21.589867	-14.628565	-14.544118	4.640996	-70.292114	76.407379	12.500123	1211
-73.51989	-6.906462	-58.628017	-53.991924	-49.137444	-44.47015	-35.768803	-33.060284	2.129096	55.833256	-22.760551	-21.708891	-14.538792	-14.629401	5.012659	-70.234085	76.33976	13.01166	1212
-73.468643	-7.390697	-58.253376	-54.299774	-48.875565	-44.788521	-35.571537	-33.327019	1.798583	55.962181	-22.570227	-21.805099	-14.447061	-14.777511	5.445089	-70.224976	76.255913	13.412188	1213
-73.410591	-7.89361	-57.908123	-54.688534	-48.572998	-45.105324	-35.35804	-33.525974	1.417177	55.964516	-22.454073	-22.031927	-14.304359	-14.844762	5.900363	-70.153122	76.185425	13.941889	1214
-73.365891	-8.296184	-57.547646	-55.044296	-48.264523	-45.402618	-35.111687	-33.721725	1.097809	55.978077	-22.342098	-22.15204	-14.230966	-14.918601	6.335333	-70.12191	76.104668	14.463077	1215
-73.30751	-8.784236	-57.175785	-55.373638	-48.003864	-45.69577	-34.915291	-33.984734	0.703609	55.981052	-22.222206	-22.272837	-14.158034	-14.991888	6.786832	-70.096916	76.01815	14.950202	1216
